|  wavelength | species |     ep |      gf | comments
|  5778.453   |    26.0 |  2.588 |  -3.440 | ASPLUND
|  5784.658   |    26.0 |  3.396 |  -2.532 | ASPLUND ***DIFFICULT CONTINUUM***
|  5793.914   |    26.0 |  4.220 |  -1.619 | M09/R09 -1.648 milford94 -1.66mwr_giri -1.55mrw_lambert  adopt mean -1.619
|  5806.73    |    26.0 |  4.61  |  -0.95  | R07
|  5809.218   |    26.0 |  3.883 |  -1.71  | M09/R09 -1.609milford94 -1.84mrw_giri -1.69mrw_lambert adopt mean -1.71
|  5814.81    |    26.0 |  4.28  |  -1.870 | Asplund/Fan
|  5837.70    |    26.0 |  4.29  |  -2.240 | Asplund/Fan
|  5849.68    |    26.0 |  3.69  |  -2.890 | Asplund/Fan
|  5852.22    |    26.0 |  4.55  |  -1.23  | R07
|  5855.076   |    26.0 |  4.608 |  -1.478 | ASPLUND -1.755 n MULT 1693 -1.478b94 -1.69_mrwgiri -1.61mrw_lambert ADOPT -1.478 & ASPLUND  (red blend?)
|  5856.09    |    26.0 |  4.29  |  -1.46  | R07
|  5858.78    |    26.0 |  4.22  |  -2.160 | Asplund/Fan
|  5859.59    |    26.0 |  4.55  |  -0.58  | Nissen11
|  5861.11    |    26.0 |  4.28  |  -2.304 | Asplund/Fan
|  5862.36    |    26.0 |  4.55  |  -0.127 | Asplund/Fan
|  5902.47    |    26.0 |  4.59  |  -1.710 | Asplund/Fan
|  5905.67    |    26.0 |  4.65  |  -0.69  | R07
|  5909.97    |    26.0 |  3.21  |  -2.60  | R07  (blue blend?)
|  5916.25    |    26.0 |  2.45  |  -2.99  | R07  ***DIFFICULT CONTINUUM***
|  5927.79    |    26.0 |  4.65  |  -0.99  | R07  small telluric nearby
|  5929.68    |    26.0 |  4.55  |  -1.31  | R07 |these two
|  5930.18    |    26.0 |  4.65  |  -0.17  | R07 |are very close!
|  5934.65    |    26.0 |  3.93  |  -1.07  | R07  telluric
|  5952.72    |    26.0 |  3.98  |  -1.34  | R07  blended
|  5956.694   |    26.0 |  0.859 |  -4.552 | ASPLUND [-4.604 IN THIS SPECTRUM OK, BUT THERE IS A TELLURIC LINE n MULT 87 -4.605oxford ADOPT THIS]
|  5976.78    |    26.0 |  3.94  |  -1.243 | Asplund/Fan
|  5987.065   |    26.0 |  4.795 |  -0.212 | JM blend in red wing -0.212 Kurucz2003
|  6003.01    |    26.0 |  3.88  |  -1.06  | R07
|  6005.541   |    26.0 |  2.588 |  -3.43  | JM -3.559 Kurucz2003 -3.192 VALD. -3.479 Sousa et al. 2008 (ARES_Sun) -3.496 Bruntt 2009 A&A 506, 235 (solar) ADOPT -3.43
|  6024.06    |    26.0 |  4.55  |  -0.02  | Nissen11
|  6027.050   |    26.0 |  4.076 |  -1.09  | M09/R09 -1.222 n -1.06mrw_lambert -1.17mrw_giri -1.09_obrian -1.03wmw71 ADOPT mean -1.09
|  6054.07    |    26.0 |  4.37  |  -2.333 | Asplund/Fan
|  6056.00    |    26.0 |  4.73  |  -0.40  | R07
|  6065.482   |    26.0 |  2.609 |  -1.530 | M09/R09 -1.530 n -1.530oxford ADOPT THIS **** WINGS ****
|  6078.49    |    26.0 |  4.80  |  -0.321 | Asplund/Fan
|  6079.01    |    26.0 |  4.65  |  -1.02  | R07
|  6082.71    |    26.0 |  2.22  |  -3.57  | R07
|  6085.26    |    26.0 |  2.76  |  -3.05  | R07
|  6093.644   |    26.0 |  4.607 |  -1.30  | M09/R09 -1.30 Sun -1.43 Arct E:-1.47 -1.51nist
|  6096.665   |    26.0 |  3.984 |  -1.81  | M09/R09 -1.931 n -1.733m94 -1.78mrw_lamb -1.93mrw_giri ADOPT mean -1.81
|  6127.91    |    26.0 |  4.14  |  -1.40  | R07  blended
|  6151.618   |    26.0 |  2.176 |  -3.282 | ASPLUND [-3.299 n -3.330m -3.299oxford ADOPT OXFORD]
|  6157.72    |    26.0 |  4.07  |  -1.20  | Nissen11
|  6165.360   |    26.0 |  4.143 |  -1.46  | M09/R09 -1.549 n -1.51mrw_giri -1.40mrw_lamb -1.47_obrian ADOPT mean -1.46
|  6170.51    |    26.0 |  4.80  |  -0.38  | R07 strong
|  6173.335   |    26.0 |  2.223 |  -2.880 | M09/R09 -2.880 oxford small red blend ? best line even (MIKE)
|  6180.20    |    26.0 |  2.73  |  -2.63  | R07 blended
|  6187.99    |    26.0 |  3.94  |  -1.62  | R07
|  6200.313   |    26.0 |  2.609 |  -2.416 | ASPLUND [-2.437 n -2.4]
|  6213.430   |    26.0 |  2.223 |  -2.52  | M09/R09 -2.646 n MULT 269 -2.48_obrian -2.56(oxford norm). ADOPT MEAN -2.52
|  6219.28    |    26.0 |  2.20  |  -2.43  | Nissen11
|  6226.736   |    26.0 |  3.883 |  -2.1   | JM -2.22 VALD -2.066 Kurucz -2.069 Sousa et al. 2008 (ARES_Sun) -2.088 Bruntt 2009 A&A 506, 235 (solar) ADOPT -2.1
|  6229.23    |    26.0 |  2.85  |  -2.83  | R07  red blend
|  6232.64    |    26.0 |  3.65  |  -1.22  | R07  blue blend
|  6240.646   |    26.0 |  2.223 |  -3.287 | ASPLUND [-3.388 n -3.233b91 -3.17_obrian -3.28_mrw_lambert ADOPT mean -3.233 (b91)]
|  6246.32    |    26.0 |  3.60  |  -0.87  | Nissen11
|  6252.555   |    26.0 |  2.404 |  -1.687 | M09/R09 -1.687 n -1.687oxford ADOPT OXFORD (-1.569 WBW uncorrected) **** WINGS ****
|  6265.134   |    26.0 |  2.176 |  -2.547 | ASPLUND [-2.550 n -2.550oxford ADOPT OXFORD]
|  6270.225   |    26.0 |  2.858 |  -2.54  | M09/R09 -2.711 n MULT 736 -2.464b91 -2.61_obrian -2.69_mrw_giri -2.56_mrw_lamb ADOPT mean b91,obrian : -2.54
|  6271.279   |    26.0 |  3.332 |  -2.703 | JM FW2006[C+] Baard1994
|  6297.793   |    26.0 |  2.223 |  -2.715 | ASPLUND ***TELLURIC***
|  6311.500   |    26.0 |  2.831 |  -3.141 | ASPLUND blended and telluric!
|  6322.69    |    26.0 |  2.59  |  -2.43  | R07
|  6335.33    |    26.0 |  2.20  |  -2.26  | Nissen11
|  6336.82    |    26.0 |  3.69  |  -0.93  | Nissen11
|  6344.15    |    26.0 |  2.43  |  -2.92  | R07
|  6355.03    |    26.0 |  2.84  |  -2.31  | Nissen11
|  6358.68    |    26.0 |  0.86  |  -4.24  | Nissen11 looks nice!
|  6380.74    |    26.0 |  4.19  |  -1.32  | R07  small red blend
|  6392.539   |    26.0 |  2.279 |  -4.03  | JM -4.03 VALD (Trevisan2011)
|  6393.60    |    26.0 |  2.43  |  -1.60  | Nissen11
|  6411.65    |    26.0 |  3.65  |  -0.69  | Nissen11
|  6419.95    |    26.0 |  4.73  |  -0.24  | R07
|  6421.35    |    26.0 |  2.28  |  -2.02  | Nissen11
|  6430.846   |    26.0 |  2.176 |  -2.006 | M09/R09 -2.005 n -2.006oxford  (-1.886 WBW sin normalizar) ADOPT OXFORD *** WINGS ***
|  6481.87    |    26.0 |  2.28  |  -2.98  | R07  some telluric, wings
|  6498.939   |    26.0 |  0.958 |  -4.695 | ASPLUND [-4.699 n -4.699oxford ADOPT OXFORD]
|  6518.367   |    26.0 |  2.831 |  -2.448 | ASPLUND
|  6574.229   |    26.0 |  0.990 |  -5.010 | ASPLUND ***TELLURIC***
|  6593.871   |    26.0 |  2.433 |  -2.394 | ASPLUND
|  6597.56    |    26.0 |  4.80  |  -0.97  | R07
|  6609.110   |    26.0 |  2.559 |  -2.682 | ASPLUND  blue blend
|  6699.142   |    26.0 |  4.593 |  -2.101 | ASPLUND  not good MIKE
|  6625.022   |    26.0 |  1.011 |  -5.336 | JM FW2006[B+] Blackwell_1986
|  6677.987   |    26.0 |  2.692 |  -1.418 | JM FW2006[B] O'Brian
